age,job,marital,education,balance,housing,loan,contact,duration,pdays,previous,poutcome,contact_date
55,blue-collar,married,secondary,16873,0,0,cellular,78,-1,0,other,1-jun
34,technician,married,secondary,4,1,0,cellular,105,263,1,failure,2-feb
40,admin.,married,secondary,451,1,1,unknown,257,-1,0,other,29-may
29,services,single,secondary,-142,1,0,unknown,140,-1,0,other,16-may
51,technician,divorced,secondary,131,1,0,cellular,193,-1,0,other,18-nov
29,management,married,tertiary,314,0,0,unknown,938,-1,0,other,28-may
33,blue-collar,married,secondary,526,1,0,cellular,198,-1,0,other,20-apr
41,housemaid,married,secondary,0,1,0,telephone,41,-1,0,other,28-jul
46,technician,divorced,secondary,0,1,1,cellular,306,262,1,other,8-may
33,services,married,secondary,740,0,1,unknown,266,-1,0,other,30-jun
32,management,married,tertiary,937,0,0,unknown,76,-1,0,other,17-nov
40,blue-collar,divorced,secondary,2540,1,0,unknown,189,-1,0,other,14-may
37,technician,married,secondary,-886,1,0,unknown,224,-1,0,other,26-may
57,retired,divorced,tertiary,241,0,1,cellular,146,-1,0,other,5-aug
29,housemaid,married,primary,0,1,0,cellular,317,-1,0,other,15-jul
56,blue-collar,married,secondary,475,1,1,unknown,110,-1,0,other,20-jun
57,management,married,tertiary,2101,0,0,cellular,101,-1,0,other,18-nov
40,management,single,secondary,9916,0,0,telephone,98,-1,0,other,10-nov
48,services,divorced,secondary,852,1,1,unknown,202,-1,0,other,7-may
43,management,divorced,tertiary,0,1,0,unknown,123,-1,0,other,8-may
37,services,single,tertiary,718,0,0,unknown,43,-1,0,other,17-jun
45,technician,married,secondary,49,0,0,cellular,65,-1,0,other,29-jul
52,services,married,secondary,627,0,0,cellular,174,-1,0,other,29-aug
27,admin.,married,tertiary,2855,0,0,cellular,138,178,4,success,22-jul
24,student,single,secondary,228,0,0,cellular,99,79,1,failure,20-aug
36,technician,married,secondary,4613,0,0,cellular,207,-1,0,other,19-nov
31,management,married,tertiary,3,0,0,cellular,12,-1,0,other,28-aug
31,technician,married,secondary,141,1,0,unknown,140,-1,0,other,21-may
33,management,divorced,tertiary,802,0,0,cellular,401,-1,0,other,6-feb
29,technician,single,secondary,-496,1,1,cellular,422,-1,0,other,22-jul
28,blue-collar,married,secondary,214,1,1,cellular,332,-1,0,other,24-jul
80,retired,married,primary,594,0,0,telephone,128,-1,0,other,10-may
49,admin.,divorced,primary,-347,1,0,unknown,200,-1,0,other,26-may
39,services,single,secondary,3,0,1,unknown,206,-1,0,other,3-jul
33,entrepreneur,married,secondary,137,1,0,cellular,136,-1,0,other,15-jul
49,blue-collar,married,secondary,1568,0,0,unknown,206,-1,0,other,21-may
39,services,single,secondary,158,1,0,cellular,183,168,2,failure,21-nov
50,blue-collar,divorced,primary,5,0,0,cellular,118,-1,0,other,7-jul
31,admin.,married,secondary,734,0,0,cellular,195,-1,0,other,26-aug
52,blue-collar,married,secondary,1797,1,0,cellular,92,99,1,failure,27-nov
35,admin.,divorced,secondary,-218,0,1,cellular,123,-1,0,other,31-jul
36,blue-collar,married,secondary,330,1,0,cellular,777,-1,0,other,13-may
45,technician,married,secondary,983,1,0,cellular,155,-1,0,other,7-aug
34,management,divorced,tertiary,2885,0,0,cellular,314,156,4,other,10-feb
44,unemployed,married,secondary,6178,0,0,cellular,213,-1,0,other,3-feb
43,management,married,tertiary,46,0,0,cellular,63,-1,0,other,27-aug
49,admin.,divorced,secondary,1320,0,0,cellular,129,-1,0,other,21-nov
27,admin.,single,secondary,3776,1,0,unknown,217,-1,0,other,19-may
41,management,married,tertiary,23,0,0,cellular,80,-1,0,other,22-aug
25,management,single,tertiary,2305,0,0,cellular,222,104,2,failure,12-aug
40,technician,married,primary,164,1,0,unknown,398,-1,0,other,7-may
40,technician,married,secondary,214,0,0,cellular,59,-1,0,other,25-aug
26,blue-collar,married,primary,-219,1,1,unknown,311,-1,0,other,15-may
41,blue-collar,married,primary,406,1,0,unknown,2462,-1,0,other,9-may
50,management,married,tertiary,398,0,0,telephone,1567,-1,0,other,30-jul
31,technician,single,secondary,691,1,0,cellular,198,-1,0,other,8-may
35,unemployed,married,secondary,978,0,0,cellular,660,182,6,success,29-jun
31,management,married,secondary,89,1,0,unknown,167,-1,0,other,26-may
29,technician,single,tertiary,48,1,0,cellular,164,-1,0,other,23-jul
31,management,single,tertiary,2336,0,0,cellular,224,-1,0,other,17-jul
43,self-employed,married,secondary,274,0,0,cellular,335,-1,0,other,14-jul
50,blue-collar,married,primary,0,0,0,cellular,281,191,2,failure,21-nov
38,services,married,secondary,741,1,0,cellular,363,343,2,failure,11-may
54,management,married,tertiary,1014,0,1,cellular,240,162,2,failure,30-apr
43,management,married,secondary,392,0,0,unknown,332,-1,0,other,17-jun
37,blue-collar,married,primary,2240,1,0,unknown,214,-1,0,other,20-may
32,management,single,tertiary,715,0,0,cellular,159,-1,0,other,11-aug
45,management,single,tertiary,5694,1,0,unknown,214,-1,0,other,9-may
49,technician,single,secondary,3972,0,0,cellular,37,-1,0,other,19-nov
30,admin.,married,secondary,11,1,0,cellular,157,-1,0,other,11-may
33,admin.,married,secondary,347,1,0,cellular,7,193,13,failure,9-feb
30,management,single,tertiary,264,1,0,cellular,36,370,2,other,18-may
27,management,single,tertiary,12956,1,0,unknown,789,-1,0,other,29-may
34,management,married,tertiary,47,0,0,cellular,244,-1,0,other,26-may
37,blue-collar,married,primary,213,0,1,unknown,323,-1,0,other,5-jun
38,unemployed,married,tertiary,2012,0,0,cellular,355,-1,0,other,7-apr
42,self-employed,married,tertiary,1202,0,0,unknown,40,-1,0,other,11-jun
39,technician,single,secondary,-529,1,0,cellular,18,-1,0,other,21-nov
26,blue-collar,single,secondary,18,1,0,cellular,579,-1,0,other,28-jul
40,management,single,tertiary,406,1,0,cellular,130,371,1,failure,13-may
31,blue-collar,single,primary,817,1,0,cellular,160,-1,0,other,17-apr
42,self-employed,married,secondary,399,0,0,cellular,296,-1,0,other,28-jan
32,unemployed,single,tertiary,1974,0,0,cellular,775,-1,0,other,4-feb
36,housemaid,divorced,secondary,181,1,0,cellular,354,-1,0,other,18-jul
40,blue-collar,married,secondary,679,1,0,cellular,642,304,1,failure,17-apr
95,retired,divorced,primary,2282,0,0,telephone,207,-1,0,other,21-apr
37,unemployed,single,tertiary,1032,0,0,telephone,63,-1,0,other,4-feb
38,technician,married,secondary,0,0,0,cellular,176,-1,0,other,28-aug
46,blue-collar,married,secondary,229,1,0,cellular,191,-1,0,other,17-apr
