age,job,marital,education,balance,housing,loan,contact,duration,pdays,previous,poutcome,contact_date,customer_value_score,estimated_income,age_bin,previous_bin
55,blue-collar,married,secondary,16873,0,0,cellular,4.3694478524670215,-1,0,other,1-jun,16873,33873,Senior (51-70),none
34,technician,married,secondary,4,1,0,cellular,4.663439094112067,263,1,failure,2-feb,8,22004,Middle-aged (31-50),low
40,admin.,married,secondary,451,1,1,unknown,5.552959584921617,-1,0,other,29-may,451,22451,Middle-aged (31-50),none
29,services,single,secondary,-142,1,0,unknown,4.948759890378168,-1,0,other,16-may,-142,16858,Young (18-30),none
51,technician,divorced,secondary,131,1,0,cellular,5.267858159063328,-1,0,other,18-nov,131,22131,Senior (51-70),none
29,management,married,tertiary,314,0,0,unknown,6.844815479208263,-1,0,other,28-may,314,28314,Young (18-30),none
33,blue-collar,married,secondary,526,1,0,cellular,5.293304824724492,-1,0,other,20-apr,526,17526,Middle-aged (31-50),none
41,housemaid,married,secondary,0,1,0,telephone,3.7376696182833684,-1,0,other,28-jul,0,12000,Middle-aged (31-50),none
46,technician,divorced,secondary,0,1,1,cellular,5.726847747587197,262,1,other,8-may,0,22000,Middle-aged (31-50),low
33,services,married,secondary,740,0,1,unknown,5.58724865840025,-1,0,other,30-jun,740,17740,Middle-aged (31-50),none
32,management,married,tertiary,937,0,0,unknown,4.343805421853684,-1,0,other,17-nov,937,28937,Middle-aged (31-50),none
40,blue-collar,divorced,secondary,2540,1,0,unknown,5.247024072160486,-1,0,other,14-may,2540,19540,Middle-aged (31-50),none
37,technician,married,secondary,-886,1,0,unknown,5.41610040220442,-1,0,other,26-may,-886,21114,Middle-aged (31-50),none
57,retired,divorced,tertiary,241,0,1,cellular,4.990432586778736,-1,0,other,5-aug,241,13241,Senior (51-70),none
29,housemaid,married,primary,0,1,0,cellular,5.762051382780177,-1,0,other,15-jul,0,11000,Young (18-30),none
56,blue-collar,married,secondary,475,1,1,unknown,4.709530201312334,-1,0,other,20-jun,475,17475,Senior (51-70),none
57,management,married,tertiary,2101,0,0,cellular,4.624972813284271,-1,0,other,18-nov,2101,30101,Senior (51-70),none
40,management,single,secondary,9916,0,0,telephone,4.59511985013459,-1,0,other,10-nov,9916,36916,Middle-aged (31-50),none
